"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CHECK_PRICES";"COMMENT";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_POSITIONS";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"PRODUCT_TYPE";"PURCHASE-URL";"ROHS";"SNAPEDA_LINK";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"3";"1K 1%";"R_0603";"EIA0603";"R12, R90, R93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1uF/25V";"C_0603EIA0603";"EIA0603";"C6, C8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"282834-2";"282834-2";"TE_282834-2_0";"X4, X6, X23";"";"";"";"";"";"";"";"";"";"";"";"Connector Header Terminal Block 2 Positions, 1 Row, 2.54mm, THT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"282834-2";"TE";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"Digikey";"";"";"";"";"";
"3";"282834-3";"282834-3";"TE_282834-3_0";"X17, X18, X24";"";"";"";"";"";"";"";"";"";"";"";"Connector 3 Position THT 1 Row 2.54mm pitch side entry wire to board ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"282834-3";"TE";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"Digikey";"";"";"";"";"";
"4";"2N7002";"2N7002";"SOT23";"Q3, Q5, Q7, Q9";"";"";"";"";"";"";"";"";"";"";"";"NMOSFET, 500mA, 60V, Vth 2.5V";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"";"";"2N7002";"Diodes, Guangdong Hotetech,NXP";"";"";"";"";"";"";"";"100";"";"NMOSFET";"";"";"";"0.02";"";"";"";"";"LCSC";"";"";"";"";"";
"2";"330R 1%";"R_0603";"EIA0603";"R6, R9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7K 1%";"R_0603";"EIA0603";"R4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"470R 1%";"R_0603";"EIA0603";"R3, R95, R97, R98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"47K 1%";"R_0603";"EIA0603";"R7, R8, R14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source 0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"5-102203-3";"5-102203-3";"TE_5-102203-3";"X8, X9";"06 MODII HDR SRRA SHRD LF Check availability";"";"";"";"";"";"5-102203-3";"";"";"";"";" PCB Header, Right Angle, Shrouded, 06 HDR SRRA SHRD LF, AMPMODU Mod II Series | TE Connectivity 5-102203-3 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5-102203-3";"TE Connectivity";"";"";"";"";"";"6";"";"";"None";"";"";"";"";"";"Connector";"";"";"";"";"";"";"";"";"";
