"Part;""Value"";""Device"";""Package"";""Description"";""AUTOMOTIVE"";""CENTROID_NOT_SPECIFIED"";""DATASHEET"";""DESCRIPTION"";""DEVICE_CLASS_L1"";""DEVICE_CLASS_L2"";""DEVICE_CLASS_L3"";""DIGIKEY_DESCRIPTION"";""DIGIKEY_PART_NUMBER"";""FOOTPRINT_VARIANT_NAME_0"";""FORWARD_CURRENT"";""HEIGHT"";""LEAD_FREE"";""LIB_STATUS"";""MAX_JUNCTION_TEMP"";""MAX_REPETITIVE_REVERSE_VOLTAGE"";""MAX_SURGE_FORWARD_CURRENT"";""MF"";""MFG_PACKAGE_IDENT"";""MFG_PACKAGE_IDENT_COMPONENT_ID"";""MFG_PACKAGE_IDENT_DATE"";""MFG_PACKAGE_IDENT_REV"";""MFN"";""MFR"";""MOUSER_DESCRIPTION"";""MOUSER_PART_NUMBER"";""MPN"";""OUR-STOCK"";""OUR_STOCK"";""PACKAGE"";""PART_VALUE"";""PEAK_REVERSE_CURRENT"";""PREFIX"";""PRICE-1"";""PRICE_1"";""ROHS"";""STANDOFF_HEIGHT"";""STOCK"";""SUPPLIER-1"";""SUPPLIER-PN"";""TECHNOLOGY"";""TEMPERATURE_RANGE_HIGH"";""VERIFICATION_VERSION"";",,,,,,,,
"R102;""R_1206"";""R_1206"";""R1206"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""CRCW1206220KJNEAHP"";""Vishay"";"""";"""";"""";"""";"""";"""";""220K 5%"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R103;""R_1206"";""R_1206"";""R1206"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""CRCW1206220KJNEAHP"";""Vishay"";"""";"""";"""";"""";"""";"""";""220K 5%"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R104;"""";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R105;"""";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R106;"""";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R108;"""";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R109;""15.8K 1%"";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R110;""3k01 1%"";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R111;""47k 1%"";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"R112;""3.3k 1%"";""R_0603"";""R0603"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Open Source "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";",,,,,,,,
"U$101;""SRN8040TA-220M"";""SRN8040TA-220M"";""SRN8040TA-220M"";""FIXED IND 22UH 2.9A SMD", 73m-Ohm," Bourns"";"""";"""";"""";""FIXED IND 22UH 2.9A SMD", 73m-Ohm," Bourns"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""SRN8040TA-220M"";""Bourns"";"""";"""";"""";"""";""10"";"""";""22uH/2.9A"";"""";"""";"""";"""";"""";"""";"""";""Digikey"";"""";""SMD"";"""";"""";",,,,
"U$102;""SRN8040TA-220M"";""SRN8040TA-220M"";""SRN8040TA-220M"";""FIXED IND 22UH 2.9A SMD", 73m-Ohm," Bourns"";"""";"""";"""";""FIXED IND 22UH 2.9A SMD", 73m-Ohm," Bourns"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""SRN8040TA-220M"";""Bourns"";"""";"""";"""";"""";""10"";"""";""22uH/2.9A"";"""";"""";"""";"""";"""";"""";"""";""Digikey"";"""";""SMD"";"""";"""";",,,,
"U$103;""SRN8040TA-220M"";""SRN8040TA-220M"";""SRN8040TA-220M"";""FIXED IND 22UH 2.9A SMD", 73m-Ohm," Bourns"";"""";"""";"""";""FIXED IND 22UH 2.9A SMD", 73m-Ohm," Bourns"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""SRN8040TA-220M"";""Bourns"";"""";"""";"""";"""";""10"";"""";""22uH/2.9A"";"""";"""";"""";"""";"""";"""";"""";""Digikey"";"""";""SMD"";"""";"""";",,,,
"U101;""BPM2417SJ"";""BPM2417SJ"";""BPM2417SJ"";"""";"""";"""";"""";""Ac/Dc Power Supply Module "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""BPM2417SJ"";""Tamura"";"""";"""";"""";"""";""5"";"""";""Power Sources"";"""";"""";""7.00"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,,,
"V101;""B72205S0271K101B72205S2131K101"";""B72205S0271K101B72205S2131K101"";""EPCOS_B72205S0271K101_0"";""VARISTOR 205V 800A DISC 5MM"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Verified"";"""";"""";"""";"""";"""";"""";"""";"""";""B72205S0271K1011"";""EPCOS"";"""";"""";"""";"""";""10"";"""";""430V"," 400A"";"""";"""";""0.31"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,,
"X1;""726386-2"";""726386-2"";""TE_726386-2_MODIFIED"";""Terminals", Faston, GDS-Flachstecker 6.3x0.8mm," TE"";"""";"""";"""";""0.250"" (6.35mm) Quick Connect Male - Solder Connector Non-Insulated"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""726386-2"";""TE Connectivity"";"""";"""";"""";"""";"""";"""";""6.35mmx8mm"";"""";"""";""0.24"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,
"X2;""726386-2"";""726386-2"";""TE_726386-2_MODIFIED"";""Terminals", Faston, GDS-Flachstecker 6.3x0.8mm," TE"";"""";"""";"""";""0.250"" (6.35mm) Quick Connect Male - Solder Connector Non-Insulated"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""726386-2"";""TE Connectivity"";"""";"""";"""";"""";"""";"""";""6.35mmx8mm"";"""";"""";""0.24"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,
"X3;""MOLEX_206832-0601MOLEX_206832-0601"";""MOLEX_206832-0601MOLEX_206832-0601"";""MOLEX_206832-0601"";""Connector Header Through Hole 6 position 0.118"" (3.00mm)"";"""";"""";"""";""Connector Header Through Hole 6 position 3mm Microfit"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""Prototype"";"""";"""";"""";"""";"""";"""";"""";"""";""206832-0601"";""Molex"";"""";"""";"""";"""";""20"";"""";""6CCT x 2Row"";"""";"""";""1.32"";"""";"""";"""";"""";""Digikey"";"""";"""";"""";"""";",,,,,,,,
