"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"ROHS";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"1";"24K 1%";"R_0603";"R0603";"R92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"26-21/GPC-F3138B/CA";"26-21/GPC-F3138B/CA";"SMD1206-LED";"D12";"";"";"";"";"";"";"";"Green SMD LED 1206, 160mcd";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"26-21/GPC-F3138B/CA";"Everlight";"";"";"";"";"";"";"50";"";"Green LED";"";"";"";"0.06";"";"LCSC";"";"";"";"";"";
"1";"282834-2";"282834-2";"TE_282834-2_0";"X11";"";"";"";"";"";"";"";"Connector Header Terminal Block 2 Positions, 1 Row, 2.54mm, THT";"";"";"";"";"";"";"";"";"";"";"";"";"";"282834-2";"TE";"";"";"";"";"";"";"";"";"";"";"";"";"0.8";"";"Digikey";"";"";"";"";"";
"2";"282834-3";"282834-3";"TE_282834-3_0";"X3, X4";"";"";"";"";"";"";"";"Connector 3 Position THT 1 Row 2.54mm pitch side entry wire to board ";"";"";"";"";"";"";"";"";"";"";"";"";"";"282834-3";"TE";"";"";"";"";"";"";"";"";"";"";"";"";"1.7";"";"Digikey";"";"";"";"";"";
"7";"2N7002";"2N7002";"SOT23";"Q2, Q4, Q7, Q9, Q11, Q13, Q15";"";"";"";"";"";"";"";"NMOSFET, 500mA, 60V, Vth 2.5V";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"2N7002";"Diodes, Guangdong Hotetech,NXP";"";"";"";"";"";"";"100";"";"NMOSFET";"";"";"";"0.02";"";"LCSC";"";"";"";"";"";
"1";"3K01 1%";"R_0603";"R0603";"R44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"470R 1%";"R_0603";"R0603";"R16, R47, R48, R69, R71, R73, R75, R77, R79, R81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Open Source ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"50PX470MEFC10X20";"50PX470MEFC10X20";"CAPACITOR-ELKO-RM5-10X16";"C18";"Electrolytic Cap, 470µF, 25V, Low ESR, Kemet, Pitch=5mm, Dia=10mm, L=12,5mm";"";"";"";"";"";"";"470uF ±20% 50V 10mm 20mm 5mm 2000Hrs @ 105℃ -55℃ ~ +105℃";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"50PX470MEFC10X20";"Rubicon";"";"";"";"";"";"";"20";"";"470uF/50V";"";"";"";"0.14";"";"LCSC";"THT";"";"";"";"";
"2";"615008148521";"615008148521";"615008148521";"X12, X14";"WR-MJ Modular Jack Horizontal Plastic 8P8C Tab Up";"";"";"";"";"";"";"RJ45 unshielded 8P8C";"";"";"";"";"";"";"";"";"";"";"";"";"";"615008148521";"Wurth Elektronik";"";"";"";"";"";"";"";"";"615008148521";"";"";"";"";"";"";"";"";"";"Horizontal";"";
"1";"696101000002";"696101000002";"FUSE_RM22.6";"F1";"";"";"";"";"";"";"";"Fuse Block 10 A 250V 1 Circuit Cartridge Through Hole";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"696101000002";"Wurth Elektronik";"";"";"";"";"";"";"10";"";"10A 5mmx20mm";"";"";"";"0.64";"";"Digikey";"";"";"";"";"";
